表名,字段,中文意思,定义（含公式）,数据样例,备注,字段类型,数据层,表粒度,键角色,HTML映射,接入方式
02_月度放款量_Funded_真实,month,月份,业务月份标识，格式 YYYY-MM（文本）,2023-10,日期基准待确认,原始字段,原始层-真实月报,month,主键组成,monthly-monitor-v1.sources[02].month,组装monthly-monitor-v1 JSON
02_月度放款量_Funded_真实,funded_Organic,Organic 渠道放款笔数,当月 Organic 渠道真实放款笔数,5300,贷款数/客户数、首贷/复贷范围待确认,原始字段,原始层-真实月报,month,普通字段,monthly-monitor-v1.sources[02].funded_Organic,组装monthly-monitor-v1 JSON
02_月度放款量_Funded_真实,funded_Owned Channels,自有渠道放款笔数,当月自有渠道放款笔数,29,同上；明细层近似对应 CRM,原始字段,原始层-真实月报,month,普通字段,monthly-monitor-v1.sources[02].funded_Owned Channels,组装monthly-monitor-v1 JSON
02_月度放款量_Funded_真实,funded_Meta,Meta 渠道放款笔数,当月 Meta 渠道放款笔数,17,贷款数/客户数、首贷/复贷范围待确认,原始字段,原始层-真实月报,month,普通字段,monthly-monitor-v1.sources[02].funded_Meta,组装monthly-monitor-v1 JSON
02_月度放款量_Funded_真实,funded_Google,Google 渠道放款笔数,当月 Google 渠道放款笔数,1523,同上,原始字段,原始层-真实月报,month,普通字段,monthly-monitor-v1.sources[02].funded_Google,组装monthly-monitor-v1 JSON
02_月度放款量_Funded_真实,funded_Bing,Bing 渠道放款笔数,当月 Bing 渠道放款笔数,36,同上,原始字段,原始层-真实月报,month,普通字段,monthly-monitor-v1.sources[02].funded_Bing,组装monthly-monitor-v1 JSON
02_月度放款量_Funded_真实,funded_Lead Partner,Lead Partner 渠道放款笔数,当月 Lead Partner 渠道放款笔数,311,同上,原始字段,原始层-真实月报,month,普通字段,monthly-monitor-v1.sources[02].funded_Lead Partner,组装monthly-monitor-v1 JSON
02_月度放款量_Funded_真实,funded_Tiktok,TikTok 渠道放款笔数,当月 TikTok 渠道放款笔数,10,同上,原始字段,原始层-真实月报,month,普通字段,monthly-monitor-v1.sources[02].funded_Tiktok,组装monthly-monitor-v1 JSON
02_月度放款量_Funded_真实,funded_GEO,GEO 渠道放款笔数,当月 GEO 渠道放款笔数,1,同上,原始字段,原始层-真实月报,month,普通字段,monthly-monitor-v1.sources[02].funded_GEO,组装monthly-monitor-v1 JSON
02_月度放款量_Funded_真实,funded_Total,全渠道放款笔数,当月全部渠道放款合计；校验公式：funded_Total = Σ funded_<渠道>,7197,同月 Funded÷Leads 仅为派生观察比值，不是已验证的同批 Cohort 转化率,加工字段,原始层-真实月报,month,普通字段,monthly-monitor-v1.sources[02].funded_Total,组装monthly-monitor-v1 JSON
03_月度放款成本_CPFL_真实,month,月份,业务月份标识，格式 YYYY-MM（文本）,2024-07,日期基准待确认,原始字段,原始层-真实月报,month,主键组成,monthly-monitor-v1.sources[03].month,组装monthly-monitor-v1 JSON
03_月度放款成本_CPFL_真实,cpfl_total,全渠道 CPFL,CPFL = Cost Per Funded Loan（单笔放款成本）；公式：CPFL = 当月获客费用 ÷ 当月放款笔数,20.7537,币种未注明（看板按 AUD 展示）；费用范围（是否含代理费/工具费）待确认,加工字段,原始层-真实月报,month,普通字段,monthly-monitor-v1.sources[03].cpfl_total,组装monthly-monitor-v1 JSON
03_月度放款成本_CPFL_真实,cpfl_Google,Google 渠道 CPFL,公式：cpfl_Google = Google 当月费用 ÷ Google 当月放款笔数,83.403,负值保留，不当作低成本优势；费用范围待确认,加工字段,原始层-真实月报,month,普通字段,monthly-monitor-v1.sources[03].cpfl_Google,组装monthly-monitor-v1 JSON
03_月度放款成本_CPFL_真实,cpfl_Bing,Bing 渠道 CPFL,公式：cpfl_Bing = Bing 当月费用 ÷ Bing 当月放款笔数,393.062,同上,加工字段,原始层-真实月报,month,普通字段,monthly-monitor-v1.sources[03].cpfl_Bing,组装monthly-monitor-v1 JSON
03_月度放款成本_CPFL_真实,cpfl_Lead Partner,Lead Partner 渠道 CPFL,公式：cpfl_Lead Partner = Lead Partner 当月费用 ÷ Lead Partner 当月放款笔数,60.0977,同上；CPFL 不改名 CAC，不按 CPFL×Funded 倒推真实 Spend,加工字段,原始层-真实月报,month,普通字段,monthly-monitor-v1.sources[03].cpfl_Lead Partner,组装monthly-monitor-v1 JSON
04_月度渠道质量_GreenPct_真实,month,月份,业务月份标识，格式 YYYY-MM（文本）,2024-07,日期基准待确认,原始字段,原始层-真实月报,month+channel,主键组成,monthly-monitor-v1.sources[04].month,组装monthly-monitor-v1 JSON
04_月度渠道质量_GreenPct_真实,channel,渠道,渠道枚举：Tiktok / GEO / Organic / Owned Channels / Google / Bing / Lead Partner / Meta,Tiktok,与 01/02 渠道一致,原始字段,原始层-真实月报,month+channel,主键组成,monthly-monitor-v1.sources[04].channel,组装monthly-monitor-v1 JSON
04_月度渠道质量_GreenPct_真实,green_pct,绿色占比,该渠道当月判定样本中绿色分层占比，0~1 小数；公式：green_pct = green_n ÷ (green_n+orange_n+red_n+na_n),0.105263,绿/橙/红/NA 各档业务定义待确认；原表缺样本量（由 13 补充）,加工字段,原始层-真实月报,month+channel,普通字段,monthly-monitor-v1.sources[04].green_pct,组装monthly-monitor-v1 JSON
04_月度渠道质量_GreenPct_真实,orange_pct,橙色占比,公式：orange_pct = orange_n ÷ 判定样本总量,0,同上；不当作合格率/审批率/欺诈率,加工字段,原始层-真实月报,month+channel,普通字段,monthly-monitor-v1.sources[04].orange_pct,组装monthly-monitor-v1 JSON
04_月度渠道质量_GreenPct_真实,red_pct,红色占比,公式：red_pct = red_n ÷ 判定样本总量,0.789474,同上,加工字段,原始层-真实月报,month+channel,普通字段,monthly-monitor-v1.sources[04].red_pct,组装monthly-monitor-v1 JSON
04_月度渠道质量_GreenPct_真实,na_pct,未判定占比,公式：na_pct = na_n ÷ 判定样本总量,0.105263,小样本渠道（Tiktok/Meta 等）占比不可靠；比例不做跨月跨渠道加权平均,加工字段,原始层-真实月报,month+channel,普通字段,monthly-monitor-v1.sources[04].na_pct,组装monthly-monitor-v1 JSON
05_年度KPI参照_Y26KPI_真实,metric_name,指标名,KPI 指标枚举（11 个）：leads(线索量)、cpfl_variable_cost(单笔放款变动成本 AUD)、total_originations(放款总额 AUD)、funded(放款笔数)、avg_ticket_size(件均放款 AUD)、end_to_end_conversionpct(端到端转化率)、completedpct(申请完成率)、approvalpct(审批率)、fundedpct(放款率)、variable_cost(变动成本总额 AUD)、cpl_variable_cost(单线索变动成本 AUD),leads,数值关系校验：variable_cost÷funded=cpfl_variable_cost；variable_cost÷leads=cpl_variable_cost；total_originations÷funded=avg_ticket_size；funded÷leads=end_to_end_conversionpct；completedpct×approvalpct×fundedpct=end_to_end_conversionpct。性质（目标/预测/实际）待确认,原始字段,原始层-真实月报,metric_name+month,主键组成,monthly-monitor-v1.sources[05].metric_name,组装monthly-monitor-v1 JSON
05_年度KPI参照_Y26KPI_真实,month,时期,avg_2026 = 2026 年均值；value_2026_MM = 2026 年 MM 月当月值,avg_2026,看板仅作 KPI 参照，不计算达成率,原始字段,原始层-真实月报,metric_name+month,主键组成,monthly-monitor-v1.sources[05].month,组装monthly-monitor-v1 JSON
05_年度KPI参照_Y26KPI_真实,metric_value,指标数值,指标取值；单位依指标（笔 / AUD / 比例）,65570.4,性质待确认；不覆盖历史月度监控,原始字段,原始层-真实月报,metric_name+month,普通字段,monthly-monitor-v1.sources[05].metric_value,组装monthly-monitor-v1 JSON
06_获客明细主表_Records_样例,id,获客实体 ID,首访获客实体唯一标识，全表唯一,V-2001,样例 V-2001；看板以此为记录主键,原始字段,原始层-明细样例,id,主键组成,records[].id,组装schemaVersion=2 JSON
06_获客明细主表_Records_样例,userId,用户 ID,用户唯一标识,USR-2001,新客（customer=new）全表唯一；老客可跨获客实体复用（样例 USR-2016/USR-2031/USR-2044 各出现 2 次）,原始字段,原始层-明细样例,id,普通字段,records[].userId,组装schemaVersion=2 JSON
06_获客明细主表_Records_样例,applicationId,申请 ID,申请唯一标识，仅 submitted 非空时填写,APP-2001,未提交申请必须留空；全表唯一,原始字段,原始层-明细样例,id,条件唯一键,records[].applicationId,组装schemaVersion=2 JSON
06_获客明细主表_Records_样例,loanId,贷款 ID,贷款唯一标识，仅 funded 非空时填写,LN-2001,未放款必须留空；全表唯一；loan_id 唯一保证放款数不随归因模型变化,原始字段,原始层-明细样例,id,条件唯一键,records[].loanId,组装schemaVersion=2 JSON
06_获客明细主表_Records_样例,cohort,首访日期,获客 Cohort 基准日，格式 YYYY-MM-DD（文本）,5/1/2026,看板契约要求完整日期；首触点 day 必须与 cohort 一致,原始字段,原始层-明细样例,id,普通字段,records[].cohort,组装schemaVersion=2 JSON
06_获客明细主表_Records_样例,channel,首访渠道,渠道枚举：Google Search / Google PMax / Meta / TikTok / Affiliate / CRM / Organic / Direct,Google Search,固定首访来源，不随归因模型变化,原始字段,原始层-明细样例,id,普通字段,records[].channel,组装schemaVersion=2 JSON
06_获客明细主表_Records_样例,campaign,首访 Campaign,首访发生的 Campaign 名称,AU_Search_Brand,与首触点 campaign 一致,原始字段,原始层-明细样例,id,普通字段,records[].campaign,组装schemaVersion=2 JSON
06_获客明细主表_Records_样例,brand,品牌词分类,brand=品牌词；nonbrand=非品牌词；na=不适用,brand,仅 Google Search 区分 brand/nonbrand，其他渠道均为 na,原始字段,原始层-明细样例,id,普通字段,records[].brand,组装schemaVersion=2 JSON
06_获客明细主表_Records_样例,customer,新老客,new=新客；old=老客,new,新客一人一首贷（userId 全表唯一）,原始字段,原始层-明细样例,id,普通字段,records[].customer,组装schemaVersion=2 JSON
06_获客明细主表_Records_样例,region,地区,州枚举：NSW / VIC / QLD,NSW,样例数据仅含三州,原始字段,原始层-明细样例,id,普通字段,records[].region,组装schemaVersion=2 JSON
06_获客明细主表_Records_样例,device,设备,mobile / desktop,mobile,,原始字段,原始层-明细样例,id,普通字段,records[].device,组装schemaVersion=2 JSON
06_获客明细主表_Records_样例,product,产品类型,fixed=固定期限贷款；loc=循环额度（Line of Credit）,fixed,,原始字段,原始层-明细样例,id,普通字段,records[].product,组装schemaVersion=2 JSON
06_获客明细主表_Records_样例,started,开始申请日期,开始申请（Started）日期，样例 = cohort,5/1/2026,阶段日期逐级非空：started→submitted→qualified→approved→funded,原始字段,原始层-明细样例,id,普通字段,records[].started,组装schemaVersion=2 JSON
06_获客明细主表_Records_样例,submitted,提交申请日期,提交有效申请（Submitted）日期,5/2/2026,未提交留空,原始字段,原始层-明细样例,id,普通字段,records[].submitted,组装schemaVersion=2 JSON
06_获客明细主表_Records_样例,qualified,合格日期,通过准入门槛（Qualified）日期,5/3/2026,未合格留空；合格率=qualified÷submitted（固定首访 Cohort，不用归因 credit 做分母）,原始字段,原始层-明细样例,id,普通字段,records[].qualified,组装schemaVersion=2 JSON
06_获客明细主表_Records_样例,approved,审批通过日期,审批通过（Approved）日期,5/4/2026,未通过留空；审批率=approved÷qualified,原始字段,原始层-明细样例,id,普通字段,records[].approved,组装schemaVersion=2 JSON
06_获客明细主表_Records_样例,funded,放款日期,真实放款（Funded）日期,5/5/2026,未放款留空；放款率=funded÷approved,原始字段,原始层-明细样例,id,普通字段,records[].funded,组装schemaVersion=2 JSON
06_获客明细主表_Records_样例,impressions,首访媒体曝光数,首访渠道的媒体曝光次数,620,仅付费渠道有值；Organic/Direct/CRM 为 0,原始字段,原始层-明细样例,id,普通字段,records[].impressions,组装schemaVersion=2 JSON
06_获客明细主表_Records_样例,clicks,首访媒体点击数,首访渠道的媒体点击次数,2,同上；CTR=clicks÷impressions,原始字段,原始层-明细样例,id,普通字段,records[].clicks,组装schemaVersion=2 JSON
06_获客明细主表_Records_样例,sessions,首访会话数,首访会话次数,1,,原始字段,原始层-明细样例,id,普通字段,records[].sessions,组装schemaVersion=2 JSON
06_获客明细主表_Records_样例,loanAmount,放款本金 AUD,放款本金金额，未放款为 0,5200,本金仅作规模展示，不计入贡献/ROAS 分子,原始字段,原始层-明细样例,id,普通字段,records[].loanAmount,组装schemaVersion=2 JSON
06_获客明细主表_Records_样例,interest,生命周期利息预测,预测生命周期利息收入 AUD；样例公式 ≈ loanAmount×24%,1248,未放款为 0；同一生命周期预测口径,加工字段,原始层-明细样例,id,普通字段,records[].interest,组装schemaVersion=2 JSON
06_获客明细主表_Records_样例,fees,生命周期费用预测,预测生命周期费用收入 AUD；样例公式 ≈ loanAmount×0.9%,46.8,未放款为 0,加工字段,原始层-明细样例,id,普通字段,records[].fees,组装schemaVersion=2 JSON
06_获客明细主表_Records_样例,fundingCost,资金成本,同一生命周期资金成本 AUD；样例公式 ≈ loanAmount×7.1%,369.2,未放款为 0,加工字段,原始层-明细样例,id,普通字段,records[].fundingCost,组装schemaVersion=2 JSON
06_获客明细主表_Records_样例,servicingCost,服务成本,运营服务成本 AUD；样例为放款固定 210,210,未放款为 0,加工字段,原始层-明细样例,id,普通字段,records[].servicingCost,组装schemaVersion=2 JSON
06_获客明细主表_Records_样例,expectedLoss,预期信用损失,预期信用损失 AUD；公式 = loanAmount × 渠道风险率（基准 5.2%，TikTok 11%，Google PMax 8.8%，老客 −1.2pp）,270.4,未放款为 0；预期损失只扣一次，不重复叠加逾期率×本金,加工字段,原始层-明细样例,id,普通字段,records[].expectedLoss,组装schemaVersion=2 JSON
06_获客明细主表_Records_样例,ltv,折现贡献预测 LTV,上游折现贡献预测 AUD；公式 = (interest+fees−fundingCost−servicingCost−expectedLoss) × 新客系数（new=1.2，old=1.0）,534.24,未放款为 0；样例新客 LTV 用单贷贡献×1.2，不是已验证复借预测；正式需上游折现、期限、复借假设,加工字段,原始层-明细样例,id,普通字段,records[].ltv,组装schemaVersion=2 JSON
06_获客明细主表_Records_样例,fraud,欺诈判定,已确认欺诈：TRUE/FALSE；未提交申请留空（null）,FALSE,null 表示未判定，不计入欺诈率分母；欺诈率=已确认欺诈÷已完成判定的有效申请,原始字段,原始层-明细样例,id,普通字段,records[].fraud,组装schemaVersion=2 JSON
06_获客明细主表_Records_样例,firstDue,首期应还日,首期应还日期；公式 = 放款日 +1 个月（同日）,6/5/2026,仅放款记录填写；未放款留空,加工字段,原始层-明细样例,id,普通字段,records[].firstDue,组装schemaVersion=2 JSON
06_获客明细主表_Records_样例,m1bad,首期 30+ 逾期标签,首期在应还日+30 天仍未偿清：TRUE/FALSE；公式口径：首期 DPD30+,FALSE,仅在「firstDue+30 天 ≤ 快照日期 asOf」时填 TRUE/FALSE，否则必须留空（未成熟）；样例 asOf=2026-09-07,加工字段,原始层-明细样例,id,普通字段,records[].m1bad,组装schemaVersion=2 JSON
06_获客明细主表_Records_样例,thirdDue,第三期应还日,第三期应还日期；公式 = 放款日 +3 个月（同日）,8/5/2026,仅放款记录填写,加工字段,原始层-明细样例,id,普通字段,records[].thirdDue,组装schemaVersion=2 JSON
06_获客明细主表_Records_样例,m3bad,第三期 30+ 逾期标签,第三期在应还日+30 天仍未偿清：TRUE/FALSE；公式口径：第三期 DPD30+（非 MOB3 任意逾期）,FALSE,仅在「thirdDue+30 天 ≤ asOf」时填 TRUE/FALSE，否则留空；样本 <30 笔时看板标注,加工字段,原始层-明细样例,id,普通字段,records[].m3bad,组装schemaVersion=2 JSON
07_触点明细_Touches_样例,recordId,关联获客实体,关联 06_Records 的 id,V-2001,一对多：一个获客实体可有多条触点,原始字段,原始层-明细样例,recordId+touchId,主键组成,records[].touches[].recordId,组装schemaVersion=2 JSON
07_触点明细_Touches_样例,touchId,触点 ID,触点唯一标识，同实体内唯一,V-2001-T1,同 ID 同内容 = 重复触点，看板自动去重（样例 V-2028-T1 出现 2 次）,原始字段,原始层-明细样例,recordId+touchId,主键组成,records[].touches[].id,组装schemaVersion=2 JSON
07_触点明细_Touches_样例,day,触点日期,触点发生日期 YYYY-MM-DD；约束：cohort ≤ day ≤ asOf,5/1/2026,首触点 day 必须 = 主表 cohort,原始字段,原始层-明细样例,recordId+touchId,普通字段,records[].touches[].day,组装schemaVersion=2 JSON
07_触点明细_Touches_样例,channel,触点渠道,渠道枚举同 06（8 个固定值）,Google Search,多触路径的每一跳；与 06 首访渠道解耦,原始字段,原始层-明细样例,recordId+touchId,普通字段,records[].touches[].channel,组装schemaVersion=2 JSON
07_触点明细_Touches_样例,campaign,触点 Campaign,该触点所属 Campaign,AU_Search_Brand,,原始字段,原始层-明细样例,recordId+touchId,普通字段,records[].touches[].campaign,组装schemaVersion=2 JSON
07_触点明细_Touches_样例,brand,品牌词分类,brand / nonbrand / na,brand,同 06 规则,原始字段,原始层-明细样例,recordId+touchId,普通字段,records[].touches[].brand,组装schemaVersion=2 JSON
07_触点明细_Touches_样例,kind,触点类型,click=付费渠道点击；session=自然/自有/Direct 会话,click,付费渠道（Google Search/PMax/Meta/TikTok/Affiliate）为 click,原始字段,原始层-明细样例,recordId+touchId,普通字段,records[].touches[].kind,组装schemaVersion=2 JSON
07_触点明细_Touches_样例,consent,同意标识,用户是否同意数据采集：TRUE/FALSE,TRUE,Google 资格判断要求 consent=TRUE（样例 V-2023 全 FALSE、V-2015 品牌触点 FALSE 演示资格缺失）,原始字段,原始层-明细样例,recordId+touchId,普通字段,records[].touches[].consent,组装schemaVersion=2 JSON
08_成本分摊明细_Costs_样例,recordId,关联获客实体,关联 06_Records 的 id,V-2001,一对多：每个渠道/Campaign 组合一行,原始字段,原始层-明细样例,recordId+channel+campaign,主键组成,records[].costs[].recordId,组装schemaVersion=2 JSON
08_成本分摊明细_Costs_样例,channel,分摊渠道,成本分摊到的渠道（CH 8 渠道枚举）,Google Search,,原始字段,原始层-明细样例,recordId+channel+campaign,主键组成,records[].costs[].channel,组装schemaVersion=2 JSON
08_成本分摊明细_Costs_样例,campaign,分摊 Campaign,成本分摊到的 Campaign,AU_Search_Brand,,原始字段,原始层-明细样例,recordId+channel+campaign,主键组成,records[].costs[].campaign,组装schemaVersion=2 JSON
08_成本分摊明细_Costs_样例,amount,分摊金额 AUD,该渠道/Campaign 分摊的获客成本,15,获客 Cohort 分摊口径（含未转化流量），不是媒体服务日账单；Organic/Direct 为 0（看板显示 —，不当作免费获客优势）,加工字段,原始层-明细样例,recordId+channel+campaign,普通字段,records[].costs[].amount,组装schemaVersion=2 JSON
09_回传日志_Postbacks_样例,recordId,关联获客实体,关联 06_Records 的 id,V-2001,每个已发生的业务事件必须有且仅有一行,原始字段,原始层-明细样例,businessKey,外键→06.id,postbacks[].recordId,组装schemaVersion=2 JSON
09_回传日志_Postbacks_样例,businessKey,业务键,公式：businessKey = (funded ? loanId : applicationId) + ':' + event,APP-2001:submitted,funded 事件用 loanId，其余事件用 applicationId；全表唯一，看板以此对账,加工字段,原始层-明细样例,businessKey,主键组成,postbacks[].businessKey,组装schemaVersion=2 JSON
09_回传日志_Postbacks_样例,eventId,事件 ID,回传事件唯一标识,EV-2001-submitted,样例 EV-2001-submitted,原始字段,原始层-明细样例,businessKey,条件唯一键,postbacks[].eventId,组装schemaVersion=2 JSON
09_回传日志_Postbacks_样例,event,事件类型,枚举：submitted / qualified / approved / funded,submitted,与 06 阶段对应；无 Google 资格的事件也必须列全（拒绝选择性日志）,原始字段,原始层-明细样例,businessKey,普通字段,postbacks[].event,组装schemaVersion=2 JSON
09_回传日志_Postbacks_样例,day,业务发生日期,业务事件发生日期，必须 = 06 对应阶段日期,5/2/2026,看板校验 day 与业务事实一致,原始字段,原始层-明细样例,businessKey,普通字段,postbacks[].day,组装schemaVersion=2 JSON
09_回传日志_Postbacks_样例,eligible,Google 资格,是否有 Google 回传资格；条件 = 事件前 30 天内存在带 consent 的 Google（Search/PMax）触点,TRUE,由 07 触点推导，不随内部归因模型变化,加工字段,原始层-明细样例,businessKey,普通字段,postbacks[].eligible,组装schemaVersion=2 JSON
09_回传日志_Postbacks_样例,matchable,可匹配业务键,资格事件能否匹配到业务键,TRUE,eligible 为前提（子集链）,原始字段,原始层-明细样例,businessKey,普通字段,postbacks[].matchable,组装schemaVersion=2 JSON
09_回传日志_Postbacks_样例,queued,进入队列,事件进入发送队列,TRUE,matchable 为前提,原始字段,原始层-明细样例,businessKey,普通字段,postbacks[].queued,组装schemaVersion=2 JSON
09_回传日志_Postbacks_样例,sent,唯一已发送,事件已唯一发送到 Google,TRUE,queued 为前提；重复发送见 rawCount,原始字段,原始层-明细样例,businessKey,普通字段,postbacks[].sent,组装schemaVersion=2 JSON
09_回传日志_Postbacks_样例,accepted,API 接受,Google API 已接受,TRUE,sent 为前提；API 接收 ≠ 归因确认,原始字段,原始层-明细样例,businessKey,普通字段,postbacks[].accepted,组装schemaVersion=2 JSON
09_回传日志_Postbacks_样例,processed,处理成功,回传处理成功,TRUE,accepted 为前提,原始字段,原始层-明细样例,businessKey,普通字段,postbacks[].processed,组装schemaVersion=2 JSON
09_回传日志_Postbacks_样例,reported,已核实 Reported,Google 已核实确认该归因,TRUE,processed 为前提，且事件距 asOf ≥3 天（T+3 观察期）；Reported 不等于平台 DDA 汇总,原始字段,原始层-明细样例,businessKey,普通字段,postbacks[].reported,组装schemaVersion=2 JSON
09_回传日志_Postbacks_样例,rawCount,原始回传计数,原始回传事件计数（含重复）,1,reported=TRUE 时 ≥1；>1 表示重复回传需核实（样例 V-2028 为 2）,原始字段,原始层-明细样例,businessKey,普通字段,postbacks[].rawCount,组装schemaVersion=2 JSON
09_回传日志_Postbacks_样例,mmp,MMP 确认,是否经 MMP 确认：TRUE/FALSE,TRUE,样例口径 mmp=reported；真实数据以 MMP 实际确认为准,原始字段,原始层-明细样例,businessKey,普通字段,postbacks[].mmp,组装schemaVersion=2 JSON
09_回传日志_Postbacks_样例,latency,首次发送时延（分钟）,首次发送时延；公式 = firstSentTime − eventTime（分钟）,8,仅 sent=TRUE 时有值；P90 时延 = nearest-rank P90(latency)；时戳明细见 14,加工字段,原始层-明细样例,businessKey,普通字段,postbacks[].latency,组装schemaVersion=2 JSON
09_回传日志_Postbacks_样例,amountOk,金额一致性,回传金额与业务金额一致：TRUE/FALSE,TRUE,样例含 1 行 FALSE 异常（V-2010 funded）,加工字段,原始层-明细样例,businessKey,普通字段,postbacks[].amountOk,组装schemaVersion=2 JSON
09_回传日志_Postbacks_样例,statusOk,状态一致性,回传状态与业务状态一致：TRUE/FALSE,TRUE,样例含 1 行 FALSE 异常（V-2011 approved）,加工字段,原始层-明细样例,businessKey,普通字段,postbacks[].statusOk,组装schemaVersion=2 JSON
09_回传日志_Postbacks_样例,timeOk,时间一致性,回传时间与业务时间一致：TRUE/FALSE,TRUE,样例含 1 行 FALSE 异常（V-2003 funded）,加工字段,原始层-明细样例,businessKey,普通字段,postbacks[].timeOk,组装schemaVersion=2 JSON
10_系统任务SLA_Jobs_样例,name,任务名,数据链路任务名称,Web Tracking,全局快照，不随业务筛选变化,原始字段,原始层-明细样例,name,主键组成,jobs[].name,组装schemaVersion=2 JSON
10_系统任务SLA_Jobs_样例,owner,归属团队,任务归属团队,Web,,原始字段,原始层-明细样例,name,普通字段,jobs[].owner,组装schemaVersion=2 JSON
10_系统任务SLA_Jobs_样例,freshness,数据新鲜度,数据新鲜度，单位分钟（基于数据集 asOf）,2,样例状态不表示当前机器正在运行该服务,加工字段,原始层-明细样例,name,普通字段,jobs[].freshness,组装schemaVersion=2 JSON
10_系统任务SLA_Jobs_样例,sla,SLA 阈值,新鲜度 SLA 阈值，单位分钟,5,,原始字段,原始层-明细样例,name,普通字段,jobs[].sla,组装schemaVersion=2 JSON
10_系统任务SLA_Jobs_样例,success,成功率,任务成功率，0~100 数值（不带 %）,99.92,状态判断：freshness ≤ sla → 未超时，否则超时（样例 Platform Cost Ingestion 为超时演示）,原始字段,原始层-明细样例,name,普通字段,jobs[].success,组装schemaVersion=2 JSON
11_增量实验Holdout_Experiment_样例,experimentId,实验编号,Holdout 实验唯一编号,HOLD-2026-03,看板「增量与预算」为手工输入，本表记录真实实验分组结果,原始字段,补充证据层-样例,experimentId+group,主键组成,手工录入增量实验模块,手工录入
11_增量实验Holdout_Experiment_样例,experimentName,实验名称,实验名称,新客获客渠道关闭 Holdout,,原始字段,补充证据层-样例,experimentId+group,普通字段,手工录入增量实验模块,手工录入
11_增量实验Holdout_Experiment_样例,group,分组,test=试验组；control=对照组,test,独立随机用户分组；每人最多一笔新客首贷,原始字段,补充证据层-样例,experimentId+group,主键组成,手工录入增量实验模块,手工录入
11_增量实验Holdout_Experiment_样例,periodStart,实验开始,实验期开始日期 YYYY-MM-DD,5/1/2026,,原始字段,补充证据层-样例,experimentId+group,普通字段,手工录入增量实验模块,手工录入
11_增量实验Holdout_Experiment_样例,periodEnd,实验结束,实验期结束日期 YYYY-MM-DD,6/30/2026,,原始字段,补充证据层-样例,experimentId+group,普通字段,手工录入增量实验模块,手工录入
