表名,字段,中文意思,数据类型,字段类型,是否必填,键角色,来源字段/配置,HTML映射,备注
postback_events,eligible,eligible,布尔,加工字段,是,普通字段,09+14.eligible,postbacks[].*,
postback_events,matchable,matchable,布尔,原始字段,是,普通字段,09+14.matchable,postbacks[].*,
postback_events,queued,queued,布尔,原始字段,是,普通字段,09+14.queued,postbacks[].*,
postback_events,sent,sent,布尔,原始字段,是,普通字段,09+14.sent,postbacks[].*,
postback_events,accepted,accepted,布尔,原始字段,是,普通字段,09+14.accepted,postbacks[].*,
postback_events,processed,processed,布尔,原始字段,是,普通字段,09+14.processed,postbacks[].*,
postback_events,reported,reported,布尔,原始字段,是,普通字段,09+14.reported,postbacks[].*,
postback_events,rawCount,rawCount,整数,原始字段,是,普通字段,09+14.rawCount,postbacks[].*,
postback_events,mmp,mmp,布尔,原始字段,是,普通字段,09+14.mmp,postbacks[].*,
postback_events,latency,latency,整数,加工字段,否,普通字段,09+14.latency,postbacks[].*,
postback_events,amountOk,amountOk,布尔,原始字段,是,普通字段,09+14.amountOk,postbacks[].*,
postback_events,statusOk,statusOk,布尔,原始字段,是,普通字段,09+14.statusOk,postbacks[].*,
postback_events,timeOk,timeOk,布尔,原始字段,是,普通字段,09+14.timeOk,postbacks[].*,
postback_events,eventTime,业务事件时间,文本,原始字段,否,普通字段,14.eventTime,postbacks[].*,
postback_events,firstSentTime,首次发送时间,文本,原始字段,否,普通字段,14.firstSentTime,postbacks[].*,
jobs,name,name,文本,原始字段,是,主键组成,10.name,jobs[].*,
jobs,owner,owner,文本,原始字段,是,普通字段,10.owner,jobs[].*,
jobs,freshness,freshness,整数,原始字段,是,普通字段,10.freshness,jobs[].*,
jobs,sla,sla,整数,原始字段,是,普通字段,10.sla,jobs[].*,
jobs,success,success,数值,原始字段,是,普通字段,10.success,jobs[].*,
experiment_header,experimentId,experimentId,文本,原始字段,是,主键组成,11+16.experimentId,当前不直接导入,
experiment_header,experimentName,experimentName,文本,原始字段,是,普通字段,11+16.experimentName,当前不直接导入,
experiment_header,experimentType,实验类型,文本,加工字段,是,普通字段,11+16.experimentType,当前不直接导入,
experiment_header,randomizationUnit,随机化单元,文本,加工字段,是,普通字段,11+16.randomizationUnit,当前不直接导入,
experiment_header,periodStart,periodStart,文本,原始字段,是,普通字段,11+16.periodStart,当前不直接导入,
experiment_header,periodEnd,periodEnd,文本,原始字段,是,普通字段,11+16.periodEnd,当前不直接导入,
experiment_arms,experimentId,experimentId,文本,原始字段,是,主键组成,11+16.experimentId,当前不直接导入,
experiment_arms,unitValue,随机化单元取值,文本,加工字段,是,主键组成,11+16.unitValue,当前不直接导入,
experiment_arms,group,group,文本,原始字段,是,主键组成,11+16.group,当前不直接导入,
experiment_arms,assignedUsers,assignedUsers,整数,原始字段,否,普通字段,11+16.assignedUsers,当前不直接导入,
experiment_arms,prePeriodFirstLoans,prePeriodFirstLoans,整数,原始字段,否,普通字段,11+16.prePeriodFirstLoans,当前不直接导入,
experiment_arms,firstLoanUsers,firstLoanUsers,整数,原始字段,是,普通字段,11+16.firstLoanUsers,当前不直接导入,
experiment_arms,mediaSpendAud,mediaSpendAud,整数,原始字段,是,普通字段,11+16.mediaSpendAud,当前不直接导入,
experiment_arms,contributionAud,contributionAud,整数,原始字段,是,普通字段,11+16.contributionAud,当前不直接导入,
experiment_arms,sourceTable,来源表,文本,加工字段,是,普通字段,11+16.sourceTable,当前不直接导入,
media_billing,month,月份,文本,原始字段,是,主键组成,12.month,当前不直接导入,
media_billing,channel,渠道,文本,原始字段,是,主键组成,12.channel,当前不直接导入,
media_billing,campaign,campaign,文本,原始字段,是,主键组成,12.campaign,当前不直接导入,
media_billing,currency,currency,文本,原始字段,是,普通字段,12.currency,当前不直接导入,
media_billing,mediaCost,mediaCost,整数,原始字段,是,普通字段,12.mediaCost,当前不直接导入,
media_billing,impressions,impressions,整数,原始字段,是,普通字段,12.impressions,当前不直接导入,
media_billing,clicks,clicks,整数,原始字段,是,普通字段,12.clicks,当前不直接导入,
google_ads_conversions,month,月份,文本,原始字段,是,主键组成,15.month,当前不直接导入,
google_ads_conversions,channel,渠道,文本,加工字段,是,普通字段,固定值Google,当前不直接导入,
google_ads_conversions,campaign,campaign,文本,原始字段,是,主键组成,15.campaign,当前不直接导入,
google_ads_conversions,conversionAction,转化动作,文本,原始字段,是,主键组成,15.conversionAction,当前不直接导入,
google_ads_conversions,conversions,平台转化数,整数,原始字段,是,普通字段,15.conversions,当前不直接导入,
google_ads_conversions,conversionValue,平台转化价值,整数,原始字段,是,普通字段,15.conversionValue,当前不直接导入,
kpi_reference,metric_name,metric_name,文本,原始字段,是,主键组成,05.metric_name,monthly-monitor-v1.sources[kpi],
kpi_reference,month,月份,文本,原始字段,是,主键组成,05.month,monthly-monitor-v1.sources[kpi],
kpi_reference,metric_value,metric_value,数值,原始字段,是,普通字段,05.metric_value,monthly-monitor-v1.sources[kpi],
